Jurisdiction,Legislation title - english,Legislation title - official language,Legislation reference,Year_enacted,Year_last_amendment,Year of consultation,URL,Key,
Switzerland,Ordinance for the Reduction of CO2 Emissions (CO2 Ordinance),,SR 641.711,,,,,,
Switzerland,Federal Act on the Reduction of CO2,,SR 641.71,2013,,2015,https://www.admin.ch/opc/en/classified-compilation/20091310/index.html,SW-FARC,
British Columbia,British Columbia Carbon Tax Act,,SBC 2008 - Chapter 40,2008,,2015,http://www.bclaws.ca/Recon/document/ID/freeside/00_08040_01,BC-CTA,
France,Projet de Loi de Finance,,1395,2014,,2015,http://www.assemblee-nationale.fr/14/projets/pl1395.asp,FR-PLF,
France,Projet de Loi de Finance,,295,2018,,2021,https://www.assemblee-nationale.fr/dyn/15/textes/l15b0235_projet-loi,FR-PLF,
Connecticut,Air pollution control,,2012 Supplement to the general statutes of connecticut - Title 22a Environmental Protection - Chapter 446c Air Pollution Control,2012,,2015,https://www.cga.ct.gov/2012/sup/chap446c.htm#Sec22a-200c.htm,CT-APC,
Connecticut,Control of Carbon Dioxide Emissions/Carbon Dioxide Budget Trading Program,,Section 22a-174-31. ,2013,,2015,,CT-CCDE,
Delaware,TITLE 7 Conservation Natural ResourcesCHAPTER 60. ENVIRONMENTAL CONTROL Subchapter II-A. Regional Greenhouse Gas Initiative and CO2 Emission Trading Program,,As amended by SENATE BILL NO. 263,2013,,2015,,DE-T7,
Maine,Title 38 - Chapter 3-B: REGIONAL GREENHOUSE GAS INITIATIVE,,,,,,http://www.mainelegislature.org/legis/statutes/38/title38sec580-B.html,ME,
Massachussetts,Section 22 - Carbon dioxide cap and trade program,,,,,2015,https://malegislature.gov/Laws/GeneralLaws/PartI/TitleII/Chapter21A/Section22,MA-GL,
New Hampshire,Multiple Pollutant Reduction Program,,"RSA 125-O:23 repealed by 2012, 281:11, II",2009,2012,2015,http://www.gencourt.state.nh.us/rsa/html/X/125-O/125-O-23.htm,NH-MPRP,
New York,Express Terms ,,,2008,,2015,http://www.nyserda.ny.gov/About/Regional-Greenhouse-Gas-Initiative/21-NYCRR-Part-507,NY-ET,
Latvia,Natural Resources Tax Law,,209,2005,2020,2021,https://likumi.lv/ta/en/en/id/124707-natural-resources-tax-law,LV-NRTL,
Rhode Island,CHAPTER 23-82 - Implementation of the Regional Greenhouse Gas Initiative Act - SECTION 23-82-6,,,2007,2014,2015,http://webserver.rilin.state.ri.us/Statutes/title23/23-82/23-82-6.HTM,RI-RA,
New Zealand,Climate Change Response (Emissions Trading) Amendment Act 2008,,2008 No 85,2008,2013,2015,http://www.legislation.govt.nz/act/public/2008/0085/latest/DLM1130932.html,NZ-CCR,
Alberta,Specified Emissions Gas Regulation,,139/2007,2007,2015,2015,http://www.qp.alberta.ca/documents/Regs/2007_139.pdf,AL-SGER,
Iceland,Environment and Natural Resources Tax Act,Lo_g um umhver- fis- og au_lindaskatta ,129,2009,2020,2015,http://www.althingi.is/altext/138/s/0293.html,ISL-ENRTA,
Iceland,Act on various laws relating to the Budget for 2019,Lšg um breytingu ‡ _msum lšgum vegna fj‡rlaga fyrir ‡ri_ 2019,138,2018,,,https://www.althingi.is/altext/stjt/2018.138.html,ISL-BGT,
Quebec,Determination of annual caps on GHG emission units,,O.C. 1185-2012,2012,,2015,http://www2.publicationsduquebec.gouv.qc.ca/dynamicSearch/telecharge.php?type=1&file=2389.PDF,QC-GHGC,
Quebec,Regulation respecting a cap-and-trade system for greenhouse gas emission allowances,,"Environment Quality Act - chapter Q-2, r. 46.1",,,2015,http://www2.publicationsduquebec.gouv.qc.ca/dynamicSearch/telecharge.php?type=3&file=/Q_2/Q2R46_1_A.HTM,QC-CAT,
Slovenia,U R E D B O o taksi za obremenjevanje zraka z emisijo ogljikovega dioksida,,91/02,2002,,2015,http://www.uradni-list.si/_pdf/2002/Ur/u2002091.pdf#!/u2002091-pdf,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,68/96,1996,,,http://pisrs.si/Pis.web/pregledPredpisa?id=URED96,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,Feb-97,1997,,,,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,24/98,1998,,,,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,65/98,1998,,,,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,51/99,1999,,,,SL-CO2,
Slovenia,Decree on the tax for air pollution with carbon dioxide emissions,,42/00,2000,,,,SL-CO2,
Slovenia,Regulation on the environmental tax on air pollution by carbon dioxide emissions,,48/2018,2018,,,,SL-CO2,
Slovenia,Regulation amending the Regulation on the environmental tax on air pollution by carbon dioxide emissions,,168/20,2020,,,,SL-CO2,
Estonia,Environmental Charges Act,,"RT I 2005, 67, 512",2005,,2016,https://www.riigiteataja.ee/en/eli/524032014003/consolide,EST-ECA,
Iceland,A bill to the law on environmental and natural resources taxes ,,,2010,,2020,http://www.althingi.is/altext/138/s/0293.html ,ICE,
Ukraine,Tax code of Ukraine,,,,,2021,https://zakon.rada.gov.ua/laws/show/2755-17,,
Colombia,Resolucion 0000009,,,2020,,2021,https://www.dian.gov.co/normatividad/Normatividad/Resoluci%C3%B3n%20000009%20de%2031-01-2020.pdf,COL-DIAN,
Mexico,Ley del impuesto especial sobre producci—n y servicios,,,2013,2020,2021,http://www.diputados.gob.mx/LeyesBiblio/pdf/78_241220.pdf,LIEP,
Argentina,FINANCIAMIENTO DEL REGIMEN NACIONAL DE PREVISION SOCIAL. AFECTACION DEL I.V.A.. IMPUESTO SOBRE COMBUSTIBLES LIQUIDOS Y GAS NATURAL. ,,Ley 23.966,1991,2017,2021,http://servicios.infoleg.gob.ar/infolegInternet/anexos/0-4999/365/texact.htm,AR,Consolidated version
Argentina,FINANCIAMIENTO DEL REGIMEN NACIONAL DE PREVISION SOCIAL. AFECTACION DEL I.V.A.. IMPUESTO SOBRE COMBUSTIBLES LIQUIDOS Y GAS NATURAL. ,,Ley 23.966,1991,2017,2021,https://www.argentina.gob.ar/normativa/nacional/ley-23966-365/actualizacion,,
Canada,Output-Based Pricing System Regulations,,SOR/2019-266,2019,,2021,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-266/page-15.html#h-1185036,SOR,
Newfoundland and Labrador,Management of Greenhouse Gas Regulations,,116/18,2018,,2021,https://www.assembly.nl.ca/Legislation/sr/regulations/rc180116.htm,NL,
Newfoundland and Labrador,Revenue Administration Regulations,,73/11,2011,,2021,https://www.assembly.nl.ca/Legislation/sr/regulations/rc110073.htm,NL,
Alberta,Climate Change and Emissions Management Act - Ministerial Order,,58/2017,2017,,2021,https://www.alberta.ca/assets/documents/CCEMA-fund-credit-ministerial-order.PDF,AR,
Alberta,Technology Innovation and Emissions Reduction Fund Credit Amount Order,,36/2020,2020,,2021,https://open.alberta.ca/dataset/14cf509d-115e-4dd1-adba-33ff8daa5603/resource/6bd40aae-2dbc-4dd8-97e6-0681c16abb5c/download/aep-ministerial-order-36-2020.pdf,AR,
EU_ETS,Directive 2003/87/EC of the European Parliament and of the Council of 13 October 2003 establishing a scheme for greenhouse gas emission allowance trading within the Community and amending Council Directive 96/61/EC (Text with EEA relevance),,2003/87/EC,2003,2018,2021,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A32003L0087,EC,
EU_ETS,"Directive (EU) 2018/410 of the European Parliament and of the Council of 14 March 2018 amending Directive 2003/87/EC to enhance cost-effective emission reductions and low-carbon investments, and Decision (EU) 2015/1814 (Text with EEA relevance. )",,2018/410,2018,2018,2021,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32018L0410,EC,