Jurisdiction,Year,Insitution,URL,Last_accessed,Comment,Key,,
Australia,2015,Clean Energy Regulator,http://www.cleanenergyregulator.gov.au/Infohub/CPM/About-the-mechanism,,,CER,,
British Columbia,2015,Government of British Columbia,http://www2.gov.bc.ca/gov/content/taxes/sales-taxes/motor-fuel-carbon-tax,,,BC-MFCT,,
British Columbia,2018,Government of British Columbia,https://www2.gov.bc.ca/gov/content/environment/climate-change/planning-and-action/carbon-tax,,,BC-MFCT-II,,
Finland,2015,US EPA,http://yosemite.epa.gov/EE/epa/eed.nsf/dcee735e22c76aef85257662005f4116/50a39751d15c4eb785257746000aff6c!OpenDocument,,,USEPA,,
Switzerland,2015,Swiss Federal Office for the Environment,http://www.bafu.admin.ch/klima/13877/14510/14719/14741/index.html?lang=en#sprungmarke3_4,,,SW-FOEN,,
Switzerland,2018,Swiss Emissions Registry,https://www.emissionsregistry.admin.ch/crweb/public/welcome.do,,,SW-ER,,
"Connecticut, Delaware, Maine, Massachusetts, New Hampshire, New Jersey, New York, Rhode Island, and Vermont",2015,RGGI,http://www.rggi.org/design/history,,,RGGI,,
California,2015,California's Air Resource Board,http://www.arb.ca.gov/cc/reporting/ghg-rep/reported-data/ghg-reports.htm,,,ARB-CAT,,
California,2015,Center for climate and energy solutions,http://www.c2es.org/us-states-regions/key-legislation/california-cap-trade,,,CCES-CA,,
Quebec,2015,Ministere du developpement durable de la Province du Quebec,http://www.mddelcc.gouv.qc.ca/changements/carbone/index-en.htm,,,QC,,
Tokyo,2015,Tokyo Metropolitan Government - Bureau of Environment,https://www.kankyo.metro.tokyo.jp/en/climate/cap_and_trade.html,,,TK,,
Alberta,2015,Alberta Emissions Offset Registry,http://www.csaregistries.ca/albertacarbonregistries/home.cfm,,,AL,,
Alberta,2016,Alberta Environment and Parks,http://aep.alberta.ca/climate-change/reports-and-data/default.aspx,,SGER Entitites Emissions,AL-SGER,,
Quebec,2015,Quebec Emissions Trading scheme,http://www.mddelcc.gouv.qc.ca/changements/carbone/avis-resultats.htm,,,QC,,
Norway,2015,Norway customs directorate,http://www.toll.no/en/international/english/excise-duties/mineral-products/r_4/,,,NW,,
New Zealand,2015,New Zealand Emissions register,http://www.eur.govt.nz/search-the-register,,,NZ,,
California,2015,California's Air Resource Board - GHG inventory,http://www.arb.ca.gov/app/ghg/2000_2013/ghg_sector.php,,,CA-GHGI,,
California,2015,California's Air Resource Board - GHG facility and entity emissions,http://www.arb.ca.gov/cc/reporting/ghg-rep/reported-data/ghg-reports.htm,,Reported Emissions by CaT covered entities - Mandatory GHG Reporting,CA-GHGFE,,
Hubei,2015,China Hubei Emission Exchange,http://www.hbets.cn/html/zxdtXwzx/1079_1.shtml,,,,,
,,,http://www.hbets.cn/html/jbXwzx/index_1.shtml,,,,,
Tianjin,2015,Tianjin Climate Exchange,http://www.chinatcx.com.cn/tcxweb/pages/trading/trading_hq.jsp?page=14,,,,,
Shenzhen,2015,China Emission Exchange,http://www.cerx.cn/information/index_49.htm,,,,,
Beijing,2015,China Beijing Environment Exchange,http://www.cbeex.com/article/en/,,,,,
Beijing,2015,,http://www.bjets.com.cn/article/jyxx/?15,,,,,
Shanghai,2015,Shanghai Environment and Energy Exchange,http://www.cneeex.com/detail.jsp?main_colid=224&top_id=218&main_artid=6702,,,,,
Chongqing,2015,Chongqing Carbon Emissions Trading Center,http://www.cqets.cn/,,,,,
Denmark,2015,"Ministry of the Environment (miljøministeriet), Denmark",http://www2.mst.dk/common/Udgivramme/Frame.asp?http://www2.mst.dk/Udgiv/publikationer/2004/87-7614-113-6/html/kap05.htm$5.2.5,,,DK-ME,,
Sweden,2015,Swedish Taxation Agency,http://www.skatteverket.se/foretagorganisationer/skatter/punktskatter/energiskatter/skattesatser.4.77dbcb041438070e0395e96.html,,,SW-TA,,
Norway,2016,Norwegian Customs Agency,http://www.toll.no/en/,,,NO-CA,,
California,2015,California Carbon Dashboard,http://calcarbondash.org,,,CAL-CAR,,
US States,2016,US Census Bureau,https://www.census.gov/foreign-trade/statistics/state/data/index.html,,,USCB-TR,,
Canadian Provinces,2016,Statistics Canada - Trade,https://www.ic.gc.ca/app/scr/tdst/tdo/crtr.html?naArea=9998&currency=CDN&toFromCountry=CDN&searchType=All&countryList=ALL&customYears=2014%7c2015&productType=HS6&grouped=GROUPED&reportType=TE&timePeriod=%7cCustom+Years&changeCriteria=true,,,STC-TR,,
Alberta,2018,Alberta Government - Carbon levy and rebates,https://www.alberta.ca/climate-carbon-pricing.aspx#p184s3,,,AG-CLR,,
Massachusetts,2018,Massachusetts Government - Electricity Generator Emissions Limits,https://www.mass.gov/guides/electricity-generator-emissions-limits-310-cmr-774#massachusetts-carbon-allowance-registry-auctions,,,MT-EGEL,,
Japan,2018,IEA,https://www.iea.org/policiesandmeasures/pams/japan/name-139284-en.php,,,JP-TMCC,,
France,2018,Wikipedia - Taxe carbon en France,https://fr.wikipedia.org/wiki/Taxe_carbone_en_France,,,WI-FR,,
France,2020,Wikipedia - Taxe carbon en France,https://fr.wikipedia.org/wiki/Taxe_carbone_en_France,,,WI-FR,,
Ukraine,,VoxUkraine,https://voxukraine.org/en/the-environmental-tax-policy-in-ukraine-and-sweden/,2021,,VO-UKR,,
British_Columbia,,Government of British Columbia,https://www2.gov.bc.ca/gov/content/environment/climate-change/planning-and-action/carbon-tax,2021,,BC,,
Canada,,Government of Canada,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-266/page-15.html#h-1185036,2021,,OBPS(2019b),,
Canada,,Government of Canada,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-266/page-17.html#h-1185100,2021,,OBPS(2019a),,
Canada,,Government of Canada,https://www.canada.ca/en/environment-climate-change/services/climate-change/pricing-pollution-how-it-will-work/greenhouse-gas-annual-report-2019.html#toc7,2021,,ECCC(2019),,
Canada,,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/ca/Documents/tax/ca-en-tax-CITN-federal-carbon-backstop_AODA.pdf,2021,,Deloitte(2019),,
British_Columbia,,Government of British Columbia,https://www2.gov.bc.ca/gov/content/taxes/sales-taxes/motor-fuel-carbon-tax/business/faqs#exempt-refund,2021,,BCGOV(2021),,
Alberta,,Government of Alberta,https://open.alberta.ca/dataset/5d79b86b-7811-413f-88d8-acd36cb9d6d2/resource/d2eb40b9-03ed-4f6b-9abf-127cd761d8c7/download/aep-alberta-greenhouse-gas-quantification-methodologies-version-2-1-2021-03.pdf,2021,,ABGOV(2021),,
Alberta,,Government of Alberta,https://www.alberta.ca/technology-innovation-and-emissions-reduction-regulation.aspx,2021,,ABGOV(2021b),,
Alberta,,Intelex,https://community.intelex.com/explore/posts/alberta-finalizes-its-technology-innovation-and-emissions-reduction-tier-system,2021,,INTELEX(2021),,
Quebec,,ICAP,https://icapcarbonaction.com/en/?option=com_etsmap&task=export&format=pdf&layout=list&systems%5B%5D=73,2021,,ICAP(2021),,
New_Brunswick,,KPMG,https://assets.kpmg/content/dam/kpmg/ca/pdf/tnf/2020/ca-new-brunswick-tax-on-carbon-emitting-products-starts-april-1-2020.pdf,2021,,KPMG(2020),,
Newfoundland_and_Labrador,,Government of Newfoundland and Labrador,https://www.gov.nl.ca/ecc/files/publications-nl-carbon-pricing-plan.pdf,2021,,NLGOV(2019),,
Northwest_Territories,,Field Law,https://www.fieldlaw.com/News-Views-Events/182308/Carbon-Tax-in-the-Northwest-Territories-What-You-Need-to-Know,2021,,FIELDLAW(2021),,